Torque(Nm),Brake_Velocity(rad/s),All_exp_Velocity(rad/s)
1.6894325961562795,2.107828140258789,0.0
2.2432999927583595,2.0755982398986816,0.0
5.500439580939049,2.0369226932525635,0.0
9.96496349248846,1.959571123123169,0.0
12.38568287412996,1.8822195529937744,0.0
14.06357102826296,1.804868221282959,0.0
18.11019580131206,1.701732873916626,0.0
20.34329306717086,1.6501652002334595,0.0
23.38748213291976,1.5985974073410034,0.0
21.62778088763806,1.547029733657837,0.0
25.29646712598036,1.3665430545806885,0.0
27.93812751987826,1.34075927734375,0.0
27.52731913922136,1.1344884634017944,0.0
29.54591051515696,0.9540017247200012,0.0
30.70453806345976,0.8766502737998962,0.0
31.76861655618876,0.8250826001167297,0.0
33.39131933665906,0.7219472527503967,0.0
34.16832896291446,0.5156766176223755,0.0
35.989565895618654,0.464108943939209,0.0
39.11528372633725,0.36097362637519836,0.0
39.28318295598945,0.25783830881118774,0.0
39.939714392626655,0.10313532501459122,0.0
41.28055587922036,0.0,0.0
,,0.0
,,0.002531362697482109
,,0.0
,,0.0
,,0.0025313596706837416
,,0.0
,,0.0
,,0.0
,,0.0
,,0.0
,,0.0025313596706837416
,,0.0025313596706837416
,,0.0
,,0.0
,,0.0
,,0.0
,,0.0
,,0.0
,,0.0
,,0.0
,,0.0
,,0.0
,,0.0
,,0.0
,,0.0
,,0.0
,,0.002531353384256363
,,0.002531353384256363
,,0.0430331788957119
,,0.0430331788957119
,,0.0430331788957119
,,0.0506269671022892
,,0.048095643520355225
,,0.05062736198306084
,,0.05062814801931381
,,0.05062657594680786
,,0.06581533700227737
,,0.06328479200601578
,,0.08859729766845703
,,0.13922543823719025
,,0.12910014390945435
,,0.1468186378479004
,,0.1240374818444252
,,0.15441341698169708
,,0.17213350534439087
,,0.18478935956954956
,,0.20504315197467804
,,0.20757369697093964
,,0.2531423270702362
,,0.23795278370380402
,,0.2936372756958008
,,0.31135737895965576
,,0.32907745242118835
,,0.32907745242118835
,,0.3872925341129303
,,0.3898293375968933
,,0.4024946689605713
,,0.47336241602897644
,,0.47336241602897644
,,0.5113331079483032
,,0.5113331079483032
,,0.5113331079483032
,,0.574621856212616
,,0.574621856212616
,,0.5974093079566956
,,0.6277758479118347
,,0.6834477186203003
,,0.6935951113700867
,,0.6733255386352539
,,0.6733255386352539
,,0.6758687496185303
,,0.7214184999465942
,,0.7189005613327026
,,0.7189005613327026
,,0.7467490434646606
,,0.761932373046875
,,0.7720544934272766
,,0.7594143748283386
,,0.7770903706550598
,,0.8125432133674622
,,0.8910529017448425
,,0.8024210333824158
,,0.8885350227355957
,,0.8075072169303894
,,0.847995936870575
,,0.8404420614242554
,,0.815111517906189
,,0.8809307813644409
,,0.8960888385772705
,,0.8581180572509766
,,0.8859665989875793
,,0.9087793231010437
,,0.8885350227355957
,,0.9796344041824341
,,0.8834487795829773
,,0.9366278052330017
,,0.9417141675949097
,,0.9543038606643677
,,0.9669944047927856
,,0.9720302820205688
,,0.9417141675949097
,,0.9517859816551208
,,1.00496506690979
,,1.0100009441375732
,,1.0100009441375732
,,1.0100009441375732
,,1.06821608543396
,,1.0252094268798828
,,0.9922745823860168
,,1.0226913690567017
,,1.0226913690567017
,,1.121395230293274
,,1.05300772190094
,,1.040317177772522
,,1.042935848236084
,,1.1669197082519531
,,1.1669197082519531
,,1.0479717254638672
,,1.1011508703231812
,,1.1289490461349487
,,1.0454537868499756
,,1.0454537868499756
,,1.0884603261947632
,,1.06821608543396
,,1.06821608543396
,,1.0782878398895264
,,1.073352575302124
,,1.123913049697876
,,1.1036688089370728
,,1.096014142036438
,,1.1288483142852783
,,1.1288483142852783
,,1.1189779043197632
,,1.1493947505950928
,,1.1518120765686035
,,1.1264311075210571
,,1.1264311075210571
,,1.2076098918914795
,,1.124013900756836
,,1.11394202709198
,,1.11394202709198
,,1.11394202709198
,,1.1846461296081543
,,1.1973366737365723
,,1.101251482963562
,,1.1872648000717163
,,1.1997538805007935
,,1.182228922843933
,,1.3137668371200562
,,1.3137668371200562
,,1.179610252380371
,,1.202372431755066
,,1.3188025951385498
,,1.2150630950927734
,,1.1544307470321655
,,1.1846461296081543
,,1.2049912214279175
,,1.2049912214279175
,,1.2176817655563354
,,1.2732781171798706
,,1.220098853111267
,,1.1999553442001343
,,1.2076098918914795
,,1.1923006772994995
,,1.2176817655563354
,,1.182228922843933
,,1.230170726776123
,,1.2049912214279175
,,1.2454798221588135
,,1.2454798221588135
,,1.2251347303390503
,,1.2251347303390503
,,1.1643010377883911
,,1.2251347303390503
,,1.2555516958236694
,,1.2581703662872314
,,1.2325879335403442
,,1.1997538805007935
,,1.1997538805007935
