Time(s),Velocity(rad/s)
0.01,0.0
0.02,0.0
0.03,0.0025313596706837416
0.04,0.005062719341367483
0.05,0.005062719341367483
0.060000000000000005,0.007594084832817316
0.07,0.005062706768512726
0.08,0.010125413537025452
0.09,0.0177194494754076
0.09999999999999999,0.0177194494754076
0.10999999999999999,0.04050184786319733
0.11999999999999998,0.050627171993255615
0.12999999999999998,0.08100369572639465
0.13999999999999999,0.08859729766845703
0.15,0.12150535732507706
0.16,0.15441341698169708
0.17,0.19491466879844666
0.18000000000000002,0.21262846887111664
0.19000000000000003,0.22275064885616302
0.20000000000000004,0.263251930475235
0.21000000000000005,0.263251930475235
0.22000000000000006,0.32654061913490295
0.23000000000000007,0.34173649549484253
0.24000000000000007,0.3898356556892395
0.25000000000000006,0.3923662006855011
0.26000000000000006,0.3923662006855011
0.2700000000000001,0.45817285776138306
0.2800000000000001,0.45817285776138306
0.2900000000000001,0.5189247727394104
0.3000000000000001,0.5467733144760132
0.3100000000000001,0.5467733144760132
0.3200000000000001,0.5695608258247375
0.3300000000000001,0.574621856212616
0.34000000000000014,0.5923356413841248
0.35000000000000014,0.5923356413841248
0.36000000000000015,0.594891369342804
0.37000000000000016,0.6176536679267883
0.38000000000000017,0.6556243896484375
0.3900000000000002,0.6480201482772827
0.4000000000000002,0.6885340213775635
0.4100000000000002,0.6935951113700867
0.4200000000000002,0.7214184999465942
0.4300000000000002,0.744231104850769
0.4400000000000002,0.7214436531066895
0.45000000000000023,0.764500617980957
0.46000000000000024,0.744231104850769
0.47000000000000025,0.7315658926963806
0.48000000000000026,0.7315658926963806
0.49000000000000027,0.7315658926963806
0.5000000000000002,0.774572491645813
0.5100000000000002,0.782227098941803
0.5200000000000002,0.7821766138076782
0.5300000000000002,0.827701210975647
0.5400000000000003,0.8024210333824158
0.5500000000000003,0.8252336382865906
0.5600000000000003,0.8379241824150085
0.5700000000000003,0.847995936870575
0.5800000000000003,0.8505138754844666
0.5900000000000003,0.8454779982566833
0.6000000000000003,0.8733265995979309
0.6100000000000003,0.9087793231010437
0.6200000000000003,0.9112972617149353
0.6300000000000003,0.8733265995979309
0.6400000000000003,0.9087793231010437
0.6500000000000004,0.8910529017448425
0.6600000000000004,0.8884845972061157
0.6700000000000004,0.8809307813644409
0.6800000000000004,0.8809307813644409
0.6900000000000004,0.9238870739936829
0.7000000000000004,0.9112972617149353
0.7100000000000004,0.9441313147544861
0.7200000000000004,0.9619584083557129
0.7300000000000004,0.9011247158050537
0.7400000000000004,0.956821858882904
0.7500000000000004,0.944232165813446
0.7600000000000005,0.9669944047927856
0.7700000000000005,0.9618577361106873
0.7800000000000005,0.9618577361106873
0.7900000000000005,1.0909783840179443
0.8000000000000005,0.9265057444572449
0.8100000000000005,0.9618577361106873
0.8200000000000005,0.9974111914634705
0.8300000000000005,1.0074830055236816
0.8400000000000005,0.9416134357452393
0.8500000000000005,0.9998284578323364
0.8600000000000005,1.0783885717391968
0.8700000000000006,0.9822028279304504
0.8800000000000006,0.9822028279304504
0.8900000000000006,1.00496506690979
0.9000000000000006,1.00496506690979
0.9100000000000006,0.9695122838020325
0.9200000000000006,1.042935848236084
0.9300000000000006,1.042935848236084
0.9400000000000006,1.0277273654937744
0.9500000000000006,1.0277273654937744
0.9600000000000006,1.0404177904129028
0.9700000000000006,0.984720766544342
0.9800000000000006,1.0353819131851196
0.9900000000000007,1.0353819131851196
1.0000000000000007,1.0884603261947632
1.0100000000000007,1.121395230293274
1.0200000000000007,1.0631802082061768
1.0300000000000007,1.0732519626617432
1.0400000000000007,1.0404177904129028
1.0500000000000007,1.0430364608764648
1.0600000000000007,1.058144211769104
1.0700000000000007,1.0277273654937744
1.0800000000000007,1.0504896640777588
1.0900000000000007,1.065597414970398
1.1000000000000008,1.065597414970398
1.1100000000000008,1.0631802082061768
1.1200000000000008,1.0631802082061768
1.1300000000000008,1.0504896640777588
1.1400000000000008,1.0732519626617432
1.1500000000000008,1.111323356628418
1.1600000000000008,1.111323356628418
