Time(s),All Exp Velocity(rad/s),Torque(Nm),Brake Velocity(rad/s)
0.01,0.0,61.7327880859375,2.0304768085479736
0.02,-0.00506272166967392,56.56972885131836,2.114274024963379
0.03,-0.0025313596706837416,59.89903259277344,2.0820443630218506
0.04,0.0,45.6961669921875,2.1271660327911377
0.05,0.002531362697482109,57.26981735229492,2.152949810028076
0.060000000000000005,-0.0025313596706837416,49.51763916015625,2.049814462661743
0.07,0.0,45.85599136352539,2.0884902477264404
0.08,-0.0025313596706837416,40.74072265625,2.0755982398986816
0.09,-0.0025313596706837416,58.748985290527344,2.049814462661743
0.09999999999999999,-0.0025313596706837416,54.614620208740234,2.10138201713562
0.10999999999999999,-0.002531365491449833,58.19549560546875,2.0240306854248047
0.11999999999999998,-0.002531365491449833,55.38679122924805,1.985355019569397
0.12999999999999998,0.005062730982899666,54.983970642089844,1.9208952188491821
0.13999999999999999,0.0,42.8078727722168,1.8822195529937744
0.15,0.002531353384256363,57.71840286254883,1.830651879310608
0.16,0.0050627561286091805,50.750831604003906,1.93378746509552
0.17,0.0,42.08890914916992,1.727516531944275
0.18000000000000002,0.0,50.85820007324219,1.6501652002334595
0.19000000000000003,0.0050627561286091805,63.12787628173828,1.5985974073410034
0.20000000000000004,0.0050627561286091805,44.9249382019043,1.5728137493133545
0.21000000000000005,0.020250877365469933,42.23715591430664,1.4438945055007935
0.22000000000000006,0.010125413537025452,47.36496353149414,1.4696784019470215
0.23000000000000007,0.007593986578285694,48.49876403808594,1.3665430545806885
0.24000000000000007,0.007593986578285694,38.844444274902344,1.289191484451294
0.25000000000000006,0.007593986578285694,37.645992279052734,1.160272479057312
0.26000000000000006,0.012656643986701965,53.54130172729492,1.0571370124816895
0.2700000000000001,0.022782156243920326,56.75399398803711,0.9797855615615845
0.2800000000000001,0.03797052055597305,51.55312728881836,0.8250826001167297
0.2900000000000001,0.04050165414810181,52.71372604370117,0.7219472527503967
0.3000000000000001,0.05315868929028511,45.11158752441406,0.464108943939209
0.3100000000000001,0.05822056159377098,47.99821472167969,0.25783830881118774
0.3200000000000001,0.07847277075052261,47.57221984863281,0.10313532501459122
0.3300000000000001,0.07847277075052261,50.07325744628906,0.0
0.34000000000000014,0.05315868929028511,,
0.35000000000000014,0.05315868929028511,,
0.36000000000000015,0.05568923428654671,,
0.37000000000000016,0.03797229379415512,,
0.38000000000000017,0.032909635454416275,,
0.3900000000000002,0.0025321156717836857,,
0.4000000000000002,0.002530541969463229,,
0.4100000000000002,0.0,,
0.4200000000000002,0.0,,
0.4300000000000002,0.0025321156717836857,,
0.4400000000000002,0.0025321156717836857,,
0.45000000000000023,0.0,,
0.46000000000000024,0.0,,
0.47000000000000025,0.0,,
0.48000000000000026,0.002530541969463229,,
0.49000000000000027,0.0,,
0.5000000000000002,0.005062657408416271,,
0.5100000000000002,0.0,,
0.5200000000000002,0.0,,
0.5300000000000002,0.005062657408416271,,
0.5400000000000003,0.010125314816832542,,
0.5500000000000003,0.010125314816832542,,
0.5600000000000003,0.010125314816832542,,
0.5700000000000003,0.0025321156717836857,,
0.5800000000000003,0.0025321156717836857,,
0.5900000000000003,0.012657430954277515,,
0.6000000000000003,0.022781170904636383,,
0.6100000000000003,0.022781170904636383,,
0.6200000000000003,0.0025321156717836857,,
0.6300000000000003,-0.002530541969463229,,
0.6400000000000003,0.007593199610710144,,
0.6500000000000004,0.0025321156717836857,,
0.6600000000000004,0.0,,
0.6700000000000004,0.007594773080199957,,
0.6800000000000004,0.0,,
0.6900000000000004,0.0,,
0.7000000000000004,0.01265585795044899,,
0.7100000000000004,0.002530541969463229,,
0.7200000000000004,0.0,,
0.7300000000000004,0.002530541969463229,,
0.7400000000000004,0.002530541969463229,,
0.7500000000000004,0.0,,
0.7600000000000005,0.0,,
0.7700000000000005,0.0,,
0.7800000000000005,0.0,,
0.7900000000000005,0.002530541969463229,,
0.8000000000000005,0.0025321156717836857,,
0.8100000000000005,0.0,,
0.8200000000000005,0.0,,
0.8300000000000005,0.0,,
0.8400000000000005,0.0,,
0.8500000000000005,0.0,,
0.8600000000000005,0.0025321156717836857,,
0.8700000000000006,0.0025321156717836857,,
0.8800000000000006,0.0025321156717836857,,
0.8900000000000006,0.012657430954277515,,
0.9000000000000006,0.015189546160399914,,
0.9100000000000006,0.030379092320799828,,
0.9200000000000006,0.045565493404865265,,
0.9300000000000006,0.04050125926733017,,
0.9400000000000006,0.05315711721777916,,
0.9500000000000006,0.030375946313142776,,
0.9600000000000006,0.01265585795044899,,
0.9700000000000006,0.015187973156571388,,
0.9800000000000006,0.0025321156717836857,,
0.9900000000000007,0.0,,
1.0000000000000007,0.0,,
1.0100000000000007,0.0,,
1.0200000000000007,0.0,,
1.0300000000000007,-0.0025321156717836857,,
1.0400000000000007,0.0,,
1.0500000000000007,0.0,,
1.0600000000000007,0.0,,
1.0700000000000007,0.0,,
1.0800000000000007,-0.0025321156717836857,,
1.0900000000000007,0.0,,
1.1000000000000008,0.0,,
1.1100000000000008,0.0,,
1.1200000000000008,0.0,,
1.1300000000000008,0.0,,
1.1400000000000008,0.002530541969463229,,
1.1500000000000008,0.0,,
1.1600000000000008,0.0,,
1.1700000000000008,0.002530541969463229,,
1.1800000000000008,0.0,,
1.1900000000000008,0.0,,
1.2000000000000008,0.0,,
1.2100000000000009,0.0,,
1.2200000000000009,0.0,,
1.2300000000000009,0.0,,
1.2400000000000009,0.0,,
1.2500000000000009,0.0,,
1.260000000000001,0.0,,
1.270000000000001,0.0025321156717836857,,
1.280000000000001,0.0,,
1.290000000000001,0.0,,
1.300000000000001,0.002530541969463229,,
1.310000000000001,0.005062657408416271,,
1.320000000000001,0.0,,
1.330000000000001,0.0,,
1.340000000000001,0.0,,
1.350000000000001,0.0,,
1.360000000000001,0.0,,
1.370000000000001,0.0,,
1.380000000000001,-0.002530541969463229,,
1.390000000000001,-0.002530541969463229,,
1.400000000000001,0.0,,
1.410000000000001,0.005062657408416271,,
1.420000000000001,0.002530541969463229,,
1.430000000000001,-0.002530541969463229,,
1.440000000000001,0.0,,
1.450000000000001,0.0,,
1.460000000000001,0.0,,
1.470000000000001,0.0,,
1.480000000000001,0.005062657408416271,,
